STATE FIPS FIPSNAME
NC 37049 Craven, NC
NC 37051 Cumberland, NC
NC 37053 Currituck, NC
NC 37055 Dare, NC
NC 37061 Duplin, NC
NC 37065 Edgecombe, NC 
NC 37073 Gates, NC
NC 37083 Halifax, NC
NC 37091 Hertford, NC
NC 37095 Hyde, NC
NC 37103 Jones, NC
NC 37107 Lenoir, NC
NC 37117 Martin, NC
NC 37129 New Hanover, NC
NC 37131 Northampton, NC
NC 37133 Onslow, NC
NC 37137 Pamlico, NC
NC 37139 Pasquotank, NC
NC 37141 Pender, NC
NC 37143 Perquimans, NC
NC 37147 Pitt, NC
NC 37153 Richmond, NC
NC 37163 Sampson, NC
NC 37165 Scotland, NC
NC 37177 Tyrrell, NC
NC 37187 Washington, NC
NC 37191 Wayne, NC
NC 37195 Wilson, NC
NH 33001 Belknap, NH
NH 33003 Carroll, NH
NH 33011 Hillsborough, NH
NH 33013 Merrimack, NH
NH 33015 Rockingham, NH
NH 33017 Strafford, NH
NJ 34001 Atlantic, NJ
NJ 34003 Bergen, NJ
NJ 34005 Burlington, NJ
NJ 34007 Camden, NJ
NJ 34009 Cape May, NJ
NJ 34011 Cumberland, NJ
NJ 34013 Essex, NJ
NJ 34015 Gloucester, NJ
NJ 34017 Hudson, NJ
NJ 34019 Hunterdon, NJ
NJ 34021 Mercer, NJ
NJ 34023 Middlesex, NJ
NJ 34025 Monmouth, NJ
NJ 34027 Morris, NJ
NJ 34029 Ocean, NJ
NJ 34031 Passaic, NJ
NJ 34033 Salem, NJ
NJ 34035 Somerset, NJ
NJ 34037 Sussex, NJ
NJ 34039 Union, NJ 
NY 36001 Albany, NY
NY 36005 Bronx, NY
NY 36021 Columbia, NY
NY 36027 Dutchess, NY
NY 36039 Greene, NY
NY 36047 Kings, NY
NY 36059 Nassau, NY
NY 36061 New York, NY
NY 36071 Orange, NY
NY 36079 Putnam, NY
NY 36081 Queens, NY
NY 36083 Rensselaer, NY
NY 36085 Richmond, NY
NY 36087 Rockland, NY
NY 36093 Schenectady, NY
NY 36103 Suffolk, NY
NY 36111 Ulster, NY
NY 36119 Westchester, NY
PA 42017 Bucks, PA
PA 42029 Chester, PA
PA 42045 Delaware, PA
PA 42071 Lancaster, PA
PA 42075 Lebanon, PA
PA 42077 Lehigh, PA
PA 42091 Montgomery, PA
PA 42101 Philadelphia, PA
PA 42107 Schuylkill, PA
PA 42133 York, PA
RI 44001 Bristol, RI
RI 44003 Kent, RI
RI 44005 Newport, RI
RI 44007 Providence, RI
RI 44009 Washington, RI
SC 45005 Allendale, SC
SC 45013 Beaufort, SC
SC 45015 Berkeley, SC 
SC 45019 Charleston, SC
SC 45025 Chesterfield, SC
SC 45027 Clarendon, SC
SC 45029 Colleton, SC
SC 45031 Darlington, SC
SC 45033 Dillon, SC
SC 45035 Dorchester, SC
SC 45041 Florence, SC
SC 45043 Georgetown, SC
SC 45049 Hampton, SC
SC 45051 Horry, SC
SC 45053 Jasper, SC
SC 45055 Kershaw, SC
SC 45057 Lancaster, SC
SC 45061 Lee, SC
SC 45067 Marion, SC
SC 45069 Marlboro, SC
SC 45085 Sumter, SC
SC 45089 Williamsburg, SC
TX 48007 Aransas, TX
TX 48015 Austin, TX
TX 48025 Bee, TX
TX 48039 Brazoria, TX
TX 48047 Brooks, TX
TX 48057 Calhoun, TX
TX 48061 Cameron, TX
TX 48071 Chambers, TX
TX 48089 Colorado, TX
TX 48123 De Witt, TX
TX 48131 Duval, TX
TX 48149 Fayette, TX
TX 48157 Fort Bend, TX
TX 48167 Galveston, TX
TX 48175 Goliad, TX
TX 48201 Harris, TX
TX 48215 Hidalgo, TX
TX 48239 Jackson, TX
TX 48241 Jasper, TX
TX 48245 Jefferson, TX
TX 48247 Jim Hogg, TX
TX 48249 Jim Wells, TX
TX 48261 Kenedy, TX
TX 48273 Kleberg, TX
TX 48285 Lavaca, TX
TX 48291 Liberty, TX
TX 48297 Live Oak, TX
TX 48321 Matagorda, TX
TX 48351 Newton, TX 
TX 48355 Nueces, TX
TX 48361 Orange, TX
